symbol,name,sector
RELIANCE,Reliance Industries,Energy
INFY,Infosys,IT
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,Banking
ICICIBANK,ICICI Bank,Banking
SBIN,State Bank of India,Banking
WIPRO,Wipro,IT
HCLTECH,HCL Technologies,IT
TATAMOTORS,Tata Motors,Auto
BAJFINANCE,Bajaj Finance,Financial Services
LT,Larsen & Toubro,Infrastructure
MARUTI,Maruti Suzuki,Auto
KOTAKBANK,Kotak Mahindra Bank,Banking
AXISBANK,Axis Bank,Banking
TECHM,Tech Mahindra,IT
BHARTIARTL,Bharti Airtel,Telecom
ULTRACEMCO,UltraTech Cement,Cement
POWERGRID,Power Grid Corp,Utilities
ONGC,Oil & Natural Gas Corp,Energy
ADANIPORTS,Adani Ports,Infrastructure
SUNPHARMA,Sun Pharma,Pharma
TITAN,Titan Company,Consumer Goods
NESTLEIND,Nestle India,FMCG
HINDUNILVR,Hindustan Unilever,FMCG
COALINDIA,Coal India,Mining
