symbol,strategy_rule_stack,edge_score,win_pct,sharpe,total_return,total_trades,config_hash,run_date,config_details
"AXISBANK","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.0867,0.3846,-0.3602,-981.0180,13,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"AXISBANK","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.0536,0.3846,-0.4430,-1137.5915,13,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"BAJAJ-AUTO","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.1366,0.3333,-0.1585,-446.6943,12,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"BAJAJ-AUTO","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.1366,0.3333,-0.1585,-446.6943,12,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"BAJFINANCE","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.1628,0.4000,-0.1929,-493.4878,10,"106974d3","2025-07-25","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-25T23:47:30.399262'}"
"BANKBARODA","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.2567,0.4000,0.0418,-44.2854,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"BANKBARODA","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.2567,0.4000,0.0418,-44.2854,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"BRITANNIA","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4660,0.5000,0.4150,790.0123,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"BRITANNIA","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4660,0.5000,0.4150,790.0123,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"DIVISLAB","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.3228,0.2500,0.4319,831.1313,12,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
